app_id,name,category,homepage,upstream_repo,latest_version_upstream,latest_version_flathub,latest_version_arch,latest_version_debian,wayland_score,xlibre_score,confidence,evidence_wayland,evidence_xlibre,toolkit_guess,run_mode_guess,sources_used,notes
foot,foot,"Fast,",https://codeberg.org/dnkl/foot,,,,1.25.0,1.13.1-2+deb12u1,4,5,0.77,Metadata mentions Wayland support | Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
foot-terminfo,foot-terminfo,Extra,https://codeberg.org/dnkl/foot,,,,1.25.0,1.13.1-2+deb12u1,4,5,0.77,Metadata mentions Wayland support | Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
slurp,slurp,Select,https://github.com/emersion/slurp,,,,1.5.0,1.4.0-1,4,5,0.77,Metadata mentions Wayland support | Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
wl-clipboard,wl-clipboard,Command-line,https://github.com/bugaevc/wl-clipboard,,,,2.2.1,2.1.0-0.1+b1,4,5,0.77,Metadata mentions Wayland support | Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
xorg-xwayland,xorg-xwayland,run,https://xorg.freedesktop.org,,,,24.1.9,,4,5,0.75,Metadata mentions Wayland support | Runs via XWayland | Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,xwayland,arch,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
xwayland,xwayland,x11,,,,,,2:22.1.9-1,4,5,0.75,Metadata mentions Wayland support | Runs via XWayland | Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,xwayland,debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
alacritty,alacritty,A,https://github.com/alacritty/alacritty,,,,0.16.1,0.11.0-4,4,5,0.69,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
caja-open-terminal,caja-open-terminal,A,https://mate-desktop.org,,,,1.28.0,1.26.1-1.2,4,5,0.69,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
fuzzel,fuzzel,Application,https://codeberg.org/dnkl/fuzzel,,,,1.14.0,1.8.2-2,5,5,0.69,Metadata mentions Wayland support | Indicates native Wayland stack,Metadata references X11/Xorg APIs,unknown,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
gpodder,gpodder,Podcast,https://gpodder.github.io/,,,,3.11.5,3.11.1-1,4,5,0.69,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
grsync,grsync,GTK+,http://www.opbyte.it/grsync/,,,,1.3.1,1.3.0-1+b1,4,5,0.69,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
guake,guake,Drop-down,https://guake.github.io/,,,,3.10,3.9.0-2,4,5,0.69,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
kitty,kitty,A,https://github.com/kovidgoyal/kitty,,,,0.45.0,0.26.5-5,4,5,0.69,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
kitty-terminfo,kitty-terminfo,Terminfo,https://github.com/kovidgoyal/kitty,,,,0.45.0,0.26.5-5,4,5,0.69,Terminal app usually compositor-agnostic,Terminal app runs in X11 terminals | Metadata references X11/Xorg APIs,CLI,x11,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
layer-shell-qt,layer-shell-qt,Qt,https://kde.org/plasma-desktop/,,,,6.6.2,5.27.5-2,4,4,0.69,Metadata mentions Wayland support | Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lightdm-gtk-greeter,lightdm-gtk-greeter,GTK+,https://github.com/Xubuntu/lightdm-gtk-greeter,,,,2.0.9,2.0.8-2+b1,4,5,0.69,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lxappearance,lxappearance,Feature-rich,https://github.com/lxde/lxappearance,,,,0.6.4,0.6.3-1+b2,4,5,0.69,Toolkit GTK commonly supports Wayland,Toolkit GTK supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,GTK,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lximage-qt,lximage-qt,The,https://github.com/lxqt/lximage-qt,,,,2.3.0,1.2.0-2,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lxqt-admin,lxqt-admin,LXQt,https://github.com/lxqt/lxqt-admin,,,,2.3.0,1.2.0-1,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lxqt-archiver,lxqt-archiver,A,https://github.com/lxqt/lxqt-archiver,,,,1.3.0,0.7.0-3,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lxqt-config,lxqt-config,LXQt,https://github.com/lxqt/lxqt-config,,,,2.3.1,1.2.0-1+b1,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lxqt-globalkeys,lxqt-globalkeys,LXQt,https://github.com/lxqt/lxqt-globalkeys,,,,2.3.0,1.2.0-1,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lxqt-panel,lxqt-panel,The,https://github.com/lxqt/lxqt-panel,,,,2.3.2,1.2.1-1,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lxqt-qtplugin,lxqt-qtplugin,LXQt,https://github.com/lxqt/lxqt-qtplugin,,,,2.3.0,1.2.0-3+b2,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lxqt-runner,lxqt-runner,The,https://github.com/lxqt/lxqt-runner,,,,2.3.0,1.2.0-1,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lxqt-session,lxqt-session,The,https://github.com/lxqt/lxqt-session,,,,2.3.0,1.2.0-3,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
lxqt-sudo,lxqt-sudo,LXQt,https://github.com/lxqt/lxqt-sudo,,,,2.3.0,1.2.0-1,4,5,0.69,Toolkit Qt commonly supports Wayland,Toolkit Qt supports X11/XLibre-style sessions | Metadata references X11/Xorg APIs,Qt,native-wayland,arch | debian,Heuristic scoring based on toolkit + metadata mentions; XLibre treated as X11/Xorg-style compatibility.
